TOTALS: {'MEMBER_IN_A': 38, 'CONST_IN_A': 76}

======================================================================
MEMBER_IN_A 38
======================================================================
wiimj2d/dol/bases/d_a_player_base      icePowerChange__10daPlBase_cFi                       000066E4  fmuls f0, f1, f0 | A=LIT @36539  C=MEM 0x11c(r30)
wiimj2d/dol/bases/d_a_player_base      calcWindSpeed__10daPlBase_cFv                        00006C00  fmuls f30, f0, f1 | A=LIT @35724  C=MEM 0x394(r31)
wiimj2d/dol/bases/d_a_player_base      executeDemoGoal_Pole__10daPlBase_cFv                 0000BA80  fmuls f2, f0, f2 | A=LIT @36059  C=MEM 0x1030(r3)
wiimj2d/dol/bases/d_a_player_base      calcCcPlayerRev__10daPlBase_cFPf                     0000E014  fmuls f0, f0, f3 | A=LIT @38166  C=MEM 0x13f4(r30)
wiimj2d/dol/bases/d_a_player_base      posMoveAnglePenguin__10daPlBase_cF7mVec3_cUs         00011648  fmuls f1, f0, f1 | A=LIT @35723  C=MEM 0x4(r4)
wiimj2d/dol/bases/d_a_player_base      posMoveAnglePenguin__10daPlBase_cF7mVec3_cUs         000116E8  fmuls f1, f0, f1 | A=LIT @35723  C=MEM 0x4(r30)
wiimj2d/dol/bases/d_a_player_base      posMoveAnglePlayer__10daPlBase_cF7mVec3_c            00011968  fmuls f1, f0, f1 | A=LIT @35723  C=MEM 0x4(r29)
wiimj2d/dol/bases/d_a_player_base      setAddLiftSpeedF__10daPlBase_cFv                     00011C98  fmuls f31, f1, f0 | A=LIT @38166  C=MEM 0x10d0(r31)
wiimj2d/dol/bases/d_a_player_demo_manager executeGoalDemo_Pole__13daPyDemoMng_cFv              00000960  fmuls f1, f31, f1 | A=LIT @24373  C=MEM 0x1030(r3)
wiimj2d/dol/bases/d_a_player_manager   deleteCullingYoshi__9daPyMng_cFv                     000021F8  fmuls f1, f0, f1 | A=LIT @24882  C=MEM 0x44(r3)
wiimj2d/dol/bases/d_a_player_manager   deleteCullingYoshi__9daPyMng_cFv                     00002200  fmuls f0, f0, f3 | A=LIT @24882  C=MEM 0x40(r3)
wiimj2d/dol/bases/d_a_right_base       rotation_move__13daLightBase_cFP8dActor_c            00000454  fmuls f1, f0, f1 | A=LIT @13657  C=MEM 0xb0(r4)
wiimj2d/dol/bases/d_actor              areaCullCheck__8dActor_cCFRC7mVec3_cRC11sRangeDataFUc 00000EA4  fmuls f1, f0, f1 | A=LIT @24859  C=MEM 0x8(r30)
